,_id,text,username,followers_count,status
0,5fab08e3afa534967ff36a97,"RT @carlesenric: ""Fall of the Berlin wall was bad news"" vice president of Spain @PabloIglesias

Everyone should watch this video. https://t…",LavandaSunny,13,0.0
1,5fab08e6afa534967ff36a98,"RT @DynastyDraught: 🔥IT’S LIVE!🔥

✅ NFL Week 9 Review
✅ Fantasy Discussion
✅ Sell Targets
✅ Trade Targets 
✅ Berlin Berry Beer

🍺🍺🍺🍺🏈🏈🏈🏈

#…",jkEst87,124,0.0
2,5fab08e6afa534967ff36a99,"RT @Techno_Sessions: T Sessions 8 out now exclusive on Bandcamp! With 4 smashing tracks by K.E.N.Y.U., Meiwa, Mundus, and Paulo AV. 
https:…",PolymericRecs,4077,0.0
3,5fab08e9afa534967ff36a9a,@Mike_Pence @WhiteHouse @pfizer @realDonaldTrump You are a fucking liar - big surprise. Pfizer funding DID NOT come… https://t.co/AE0s2jxHJk,MythicalStig,2848,0.0
4,5fab08eaafa534967ff36a9b,"Dear friend, I ask you to donate money for the construction of the Church of Truth. Transfer as much as you can to… https://t.co/SODrhQJx3T",yaremchuk_v,2202,0.0
5,5fab08f3afa534967ff36a9c,@madrid_mike Berlin wall came down in a night.,LizAspden,194,0.0
6,5fab08f4afa534967ff36a9d,"Dear friend, I ask you to donate money for the construction of the Church of Truth. Transfer as much as you can to… https://t.co/0Z0DbFaphE",yaremchuk_v,2202,0.0
7,5fab08f4afa534967ff36a9e,"RT @redfishstream: Anti-gentrification protesters marched through Berlin against the purchase of almost 4,000 apartments by a Swedish real…",MadMontesaurus,1876,0.0
8,5fab08f6afa534967ff36a9f,Berlin by A Certain Ratio is now playing at https://t.co/EWkekqqBJt.,WKNC881Playlist,1503,0.0
9,5fab08f9afa534967ff36aa0,RT @ElectrekCo: Elon Musk's 25 guns: a 25-person Tesla engineering task force to fix Gigafactory Berlin https://t.co/SHqcyEWO37 by @frederi…,DimaZeniuk,241,1.0
10,5fab08fbafa534967ff36aa1,"Dear friend, I ask you to donate money for the construction of the Church of Truth. Transfer as much as you can to… https://t.co/ZZE0iD4Yii",yaremchuk_v,2202,1.0
11,5fab0900afa534967ff36aa2,"RT @AuschwitzMuseum: 10 November 1895 | German Sinti woman Alma Bertram was born in Berlin.

In #Zigeunerlager (Gypsy camp) in Auschwitz II…",happytrails493,664,1.0
12,5fab0903afa534967ff36aa3,"RT @SecretGardennxx: Stickers &amp; Graffiti, Berlin, Germany https://t.co/pv0Tm5ywUC",juanilopez35,433,1.0
13,5fab090eafa534967ff36aa4,@mmpadellan Hell yeah he knew! This fool is obsessed with walls!  I wonder if he heard of the BERLIN WALL? The man… https://t.co/ie3FmomeE2,LRillieux,6,1.0
14,5fab0910afa534967ff36aa5,RT @itsSpencerBrown: Administrators at John Brown University denied approval for YAF students to display posters highlighting the deadly co…,SIslander4,33,1.0
15,5fab0912afa534967ff36aa6,"RT @joeiacoo: When ya'll saw me with a shaved head in berlin's old smash video, that was one of the most stressful times in my whole life.…",zig_in,15,1.0
16,5fab0915afa534967ff36aa7,"@MissBerlinMoss Berlin, please post more like THIS! Hope my heart can handle it ...sweet, sweet torture 😉😀. https://t.co/vrl1UUalpg",Letslivelarge1,71,1.0
17,5fab0916afa534967ff36aa8,The color of the sky in Berlin is rose quartz. #a19d9a https://t.co/NBy1kO33sg,colorofberlin,105,1.0
18,5fab0918afa534967ff36aa9,"RT @HistoryRoadshow: History Archives! 🎞

History of the Rise and Fall of the Berlin Wall a guarded iron curtain that physically divided Be…",sunsetsky52,16708,1.0
19,5fab0919afa534967ff36aaa,"RT @SecretGardennxx: Stickers &amp; Graffiti, Berlin, Germany https://t.co/pv0Tm5ywUC",cigdemezgiii,682,1.0
20,5fab0929afa534967ff36aab,"Something else I’d like to do. 
Either running or (if it’s passable) on a bike. 

Running 1400 km to Celebrate the… https://t.co/r4g31pOIrR",JasonGood,914,1.0
21,5fab0929afa534967ff36aac,"RT @SecretGardennxx: Stickers &amp; Graffiti, Berlin, Germany https://t.co/pv0Tm5ywUC",grumellie,93,1.0
22,5fab092eafa534967ff36aad,"RT @Techno_Sessions: T Sessions 8 out now exclusive on Bandcamp! With 4 smashing tracks by K.E.N.Y.U., Meiwa, Mundus, and Paulo AV. 
https:…",8beat_rt,0,1.0
23,5fab0937afa534967ff36aae,» body me « Photographer Jaya Suberg ★8 #photomanipulation #berlin #germany #strkng #photography #contemporary… https://t.co/GaxmMf3mN6,strkng_com,1575,1.0
24,5fab0942afa534967ff36aaf,RT @ClarenceHouse: The Prince of Wales and The Duchess of Cornwall will visit Germany to attend The Central Remembrance Ceremony in Berlin…,Real_Dr_Roy,4218,1.0
25,5fab0955afa534967ff36ab0,RT @SWP_Britain: On this day in 1989 the Berlin wall fell after mass protests against the Stalinist regime. Many saw it as the end of socia…,RevSocGlobal,11067,1.0
26,5fab0ae3abf3edb9d5bf0e8c,@HariSevugan @kaitlancollins I’ve researched the identity of the founder of the Trump Accountability Project. His n… https://t.co/NFocqQX0Hm,vets_v,924,1.0
27,5fab0aedabf3edb9d5bf0e8d,"GERMANY: 11-year old muslim pupil threatens teacher with beheading “just like Paty”
@LBilderberg @SuzanneEvans1… https://t.co/agVO2adAuX",999rmiah,1263,1.0
28,5fab0af1abf3edb9d5bf0e8e,"RT @AuschwitzMuseum: 10 November 1895 | German Sinti woman Alma Bertram was born in Berlin.

In #Zigeunerlager (Gypsy camp) in Auschwitz II…",186baaa97958443,161,1.0
29,5fab0af9abf3edb9d5bf0e8f,RT @massively_mode: This harness #maskuloberlin #berlin #sexyback #gays https://t.co/KTCVWPzNRP,HornyG18,220,1.0
30,5fab0afeabf3edb9d5bf0e90,"RT @OsamaSMAmin: I've always been fascinated by the fine details of ancient artifacts (I don't like gross anatomy). Scrutinize, in close pr…",ElizabethKnott4,194,1.0
31,5fab0b03abf3edb9d5bf0e91,RT @henokgabisa: Seems like Abiy is conducting Anti-Tigray people war; not anti-TPLF! Clear violation of serious breaches of the internatio…,addis70,9,1.0
32,5fab0b08abf3edb9d5bf0e92,@MrKaneReturns @mmpadellan We are going to have a Berlin Wall type celebration the 3rd week of January,AshleyShand84,21,1.0
33,5fab0b16abf3edb9d5bf0e93,"RT @AuschwitzMuseum: 10 November 1895 | German Sinti woman Alma Bertram was born in Berlin.

In #Zigeunerlager (Gypsy camp) in Auschwitz II…",daviddakers,22,1.0
34,5fab0b1cabf3edb9d5bf0e94,RT @henokgabisa: Seems like Abiy is conducting Anti-Tigray people war; not anti-TPLF! Clear violation of serious breaches of the internatio…,GualJeganu,20,1.0
35,5fab0b1cabf3edb9d5bf0e95,RT @n194at: AeroAmerica Boeing 720-027 N736T at TXL/EDDT Berlin Tegel Airport (closed) June 1978 photo credit Paul Thallon #AvGeek #B720 #T…,AbilioSeverino,112,1.0
36,5faba74b68979ba54f425cef,"@realDonaldTrump @POTUS This president behaves like Hugo Chavez, Venezuelan autocrat... This playbook reminds me of… https://t.co/lwu8DEHD7r",hosmab,1,1.0
37,5faba75068979ba54f425cf0,@SeamusBlackley I live in Berlin and I will probably never know what a roux is and how it  tastes😭,wrmultitudes,514,1.0
38,5faba76168979ba54f425cf1,"💥💫
And English speakers too — all events will be streamed in both German and English!",clifi_berlin,113,1.0
39,5faba76268979ba54f425cf2,The more I think about it the more I realise my entire life in Berlin has been populated with the silliest little j… https://t.co/9r7dTWFFOI,nthnashma,7416,1.0
40,5faba77868979ba54f425cf3,English speaking lawyer Spain France Italy Germany Berlin Rome Paris Hamburg Vienna Munich Milan Madrid Barcelona S… https://t.co/UTJj3F92q8,socafat,8,1.0
41,5faba78868979ba54f425cf4,Failed state Berlin.,twitta76855063,6,1.0
42,5faba78d68979ba54f425cf5,@easyJet is 25 today! Who remembers their first EJ flight? Mine was the 22.55 from Luton arriving into Athens old d… https://t.co/TuJOzXdP98,wilburstravels,3189,1.0
43,5faba79368979ba54f425cf6,"Friends in Berlin, Brussels, Manila, NYC, San José (CR), Tunis, and Washington, DC—if you’re looking for a job, I h… https://t.co/LYYoTgEPWl",ktchernes,173,1.0
44,5faba79868979ba54f425cf7,RT @russty_russ: Fancy seeing what was in the top 10 pop charts from #OnThisDay in 1986 via the land of Ceefax in which Berlin Take My Brea…,orangecampervan,704,1.0
